SEQUENCE,MCG,GVH,LIP,CHG,AAC,ALM1,ALM2,CLASS,OUTLIER
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp,0
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp,0
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp,0
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp,0
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp,0
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp,0
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp,0
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp,0
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp,0
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp,0
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp,0
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp,0
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp,0
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp,0
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp,0
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp,0
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp,0
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp,0
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp,0
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp,0
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp,0
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp,0
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp,0
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp,0
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp,0
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp,0
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp,0
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp,0
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp,0
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp,0
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp,0
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp,0
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp,0
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp,0
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp,0
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp,0
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp,0
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp,0
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp,0
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp,0
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp,0
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp,0
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp,0
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp,0
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp,0
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp,0
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp,0
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp,0
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp,0
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp,0
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp,0
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp,0
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp,0
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp,0
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp,0
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp,0
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp,0
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp,0
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp,0
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp,0
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp,0
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp,0
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp,0
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp,0
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp,0
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp,0
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp,0
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp,0
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp,0
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp,0
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp,0
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp,0
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp,0
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp,0
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp,0
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp,0
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp,0
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp,0
RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp,0
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp,0
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp,0
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp,0
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp,0
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp,0
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp,0
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp,0
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp,0
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp,0
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp,0
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp,0
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp,0
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp,0
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp,0
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp,0
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp,0
SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp,0
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp,0
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp,0
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp,0
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp,0
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp,0
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp,0
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp,0
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp,0
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp,0
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp,0
SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp,0
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp,0
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp,0
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp,0
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp,0
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp,0
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp,0
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp,0
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp,0
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp,0
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp,0
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp,0
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp,0
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im,0
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im,0
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im,0
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im,0
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im,0
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im,0
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im,0
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im,0
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im,0
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im,0
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im,0
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im,0
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im,0
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im,0
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im,0
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im,0
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im,0
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im,0
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im,0
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im,0
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im,0
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im,0
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im,0
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im,0
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im,0
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im,0
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im,0
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im,0
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im,0
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im,0
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im,0
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im,0
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im,0
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im,0
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im,0
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im,0
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im,0
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im,0
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im,0
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im,0
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im,0
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im,0
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im,0
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im,0
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im,0
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im,0
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im,0
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im,0
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im,0
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im,0
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im,0
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im,0
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im,0
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im,0
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im,0
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im,0
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im,0
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im,0
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im,0
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im,0
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im,0
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im,0
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im,0
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im,0
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im,0
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im,0
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im,0
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im,0
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im,0
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im,0
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im,0
FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im,0
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im,0
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im,0
TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im,0
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im,0
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im,0
ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,mS,0
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,mS,0
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,mL,0
CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84,mL,0
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,mU,0
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,mU,0
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,mU,0
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,mU,0
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,mU,0
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,mU,0
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,mU,0
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,mU,0
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,mU,0
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,mU,0
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,mU,0
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,mU,0
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,mU,0
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,mU,0
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,mU,0
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,mU,0
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,mU,0
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,mU,0
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,mU,0
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,mU,0
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,mU,0
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,mU,0
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,mU,0
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,mU,0
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,mU,0
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,mU,0
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,mU,0
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,mU,0
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,mU,0
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,mU,0
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,mU,0
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,mU,0
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,mU,0
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,mU,0
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,mU,0
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om,0
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om,0
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om,0
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om,0
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om,0
OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29,om,0
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om,0
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om,0
OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om,0
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om,0
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om,0
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om,0
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om,0
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om,0
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om,0
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om,0
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om,0
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om,0
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om,0
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om,0
MULI_ECOLI,0.77,0.57,1.0,0.5,0.37,0.54,0.01,mL,0
NLPB_ECOLI,0.66,0.49,1.0,0.5,0.54,0.56,0.36,mL,0
NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3,mL,0
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,mL,0
SLP_ECOLI,0.68,0.49,1.0,0.5,0.62,0.55,0.28,mL,0
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp,0
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp,0
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp,0
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp,0
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp,0
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp,0
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp,0
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp,0
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp,0
DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp,0
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp,0
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp,0
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp,0
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp,0
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp,0
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp,0
FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp,0
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp,0
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp,0
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp,0
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp,0
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp,0
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp,0
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp,0
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp,0
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp,0
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp,0
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp,0
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp,0
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp,0
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp,0
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp,0
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp,0
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp,0
POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp,0
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp,0
